program_name,university,region,tier,duration,language,degree_type,internship_required,thesis_required,scholarship,other_info,pros,cons,admission_preference,admission_data_count,admission_data,application_notes,other_notes
Aalto HCI,Aalto,欧洲,T1,null,null,null,null,null,null,null,null,null,null,0,null,今年新加入要求GPA ≥ 3.5/4.0,null
Aalto MLDSAI,Aalto,欧洲,T1,null,null,null,null,null,null,null,null,null,null,0,null,null,null
Edinburgh AI,Edinburgh,英国,T1,null,null,null,null,null,null,null,null,null,null,0,null,null,null
IC AC,IC,英国,T1,1年,EN,MSc Advanced Computing,否,是,少量奖学金，难以获得,null,"* 优异的QS排名和国内名誉
    * 伦敦是一个美丽且富有人文气息的城市，找工和实习机会相对更为丰富
    * 少量成为IC博士学生的机会
    ","* 39400英镑的学费+伦敦高昂的生活成本
    * UK找工作有一定难度，许多同学选择回国工作
    ","* 早提交申请，非常有优势。
    * 给你发送选课邮件可能是你会被录取的一个积极信号。
    * 相较于LoR、语言成绩和PS，GPA是一个更加重要的考虑因素",3,"[{'录取时间': '23fall', '录取结果': 'AD', '学校（档次）': '陆本Top15', '本科专业': 'CS', 'GPA/Rank': '3.9/4.0', '科研经历': '1段校内；1段海外', '实习经历': '2段国内大厂', '其他（语言/推荐信）': 'T105'}, {'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '陆本Top15', '本科专业': 'CS', 'GPA/Rank': '92.05/100', '科研经历': '2段校内', '实习经历': '2段国内大厂', '其他（语言/推荐信）': 'IELTS 7.5(6.5), GRE 323+3'}, {'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': 'LMU Munich', '本科专业': 'CS+NLP', 'GPA/Rank': '1.14/1.0', '科研经历': '1段校内', '实习经历': '无', '其他（语言/推荐信）': '无雅无G'}]","* IC申请系统印象里挺丝滑的
    * 2封推荐信，可以向推荐人发送推荐信链接后继续修改和追加文件
    * 项目无面试",* 发offer之后有一个月时间决定，确定offer之后可以有一个月时间交留位费，交留位费的时间甚至可以找部门相关人员延迟
IC AIML,IC,英国,T1,1年,EN,MRes Artificial Intelligence and Machine Learning,否,是,少量奖学金，难以获得,null,"* 优异的QS排名和国内名誉
    * 伦敦是一个美丽且富有人文气息的城市，找工和实习机会相对更为丰富
    * 少量成为IC博士学生的机会
    ","* 42,600英镑的学费+伦敦高昂的生活成本
    * UK找工作有一定难度，许多同学选择回国工作
    ",null,1,"[{'录取时间': '25fall', '录取结果': 'AD', '学校（档次）': '国内211', '本科专业': '软件工程', 'GPA/Rank': '3.9/4', '科研经历': '3段无产出', '实习经历': '3段', '其他（语言/推荐信）': '/'}]",* 往年该项目需要提前陶瓷导师，但是25fall变更了申请方式，改为提交一页的rp,null
KTH MSCS,KTH,欧洲,T1,2年,EN,CS Msc,否,是,全奖（难以获得）,null,"* 有着非常丰富的track可以选择，KTH学业压力不小
    * 良好的移民和找工环境
    * 得益于KTH在中国的热情宣传，国内名声不错
    * 可能在瑞典就读phd的机会(你会获得高昂的工资！)
    * 如果被3+2录取，可以更快的毕业
    * 瑞典电子支付普及率很高
    * 斯德哥尔摩水果、肉类非常新鲜
    * 斯德哥尔摩大部分地区比较安全（有安全区域的地图）
    * 第二年成绩优异有奖学金（免第二年学费）
    * 有校内宿舍，且重视中国学生，录取到报道流程无比丝滑
    
        - **申请永久居留条件**：通常需持有有效居留许可累计 **5 年** 。
        - **普通路径**：需累计 5 年合法居留，配偶签等可与工作/博士签混合计入总时长。
        - **学生签证是否计入？**：硕士学生签一般 **不计入**普通 PR 居留时间，**博士生许可计入**。
        - **注意**：2026 年起拟调整缩短居留要求至 8 年（包括所有 permit 类型） 。
    - **学生签证和伴侣签证：**
        - **时长＆续签**：硕士课程为 1–2 年，首签通常 13 个月，必要可续签 。
        - **工作权**：国际学生在硕士期间**有权工作**，无需额外工签 。
        - **配偶资格**：作为学生主签，配偶可**在任何时间点申请或一并申请居留许可**，条件是主申请人签证有效期超过 3 个月 。
        - 财务要求：需每位成人 SEK 4,297.50/月（最新版） 。
    - **毕业后：找工作居留签（Job Seeker Permit）**
        - **适用人群**：完成高等教育（硕士以上）并持 study permit 的人 。
        - **时效与续签**：通常可申请为 **最长 12 个月**，不可续签；需完成后申请工作签或配偶签。
        - **工作权**：期间可**全职或兼职**工作，无需另办工签。
        - **配偶权利**：配偶可**同期申请居留**，与主签享有相同权利 。","* 相对高昂的学费SEK 310,000（接近20wRMB)
    * 冬季缺少日照，容易心情不好的同学请谨慎（学校设置阳光屋）
    * 学校CS相关项目众多，师生比近80/900(手动测算有所误差)
    ","23fall该项目申请异常激烈，有同学被ETH录取但进入了KTH的waiting list。
    23fall有全职经验的同学获得录取，不确定是否有相关倾向。",0,null,"* 一份申请费最多可以申请四个项目，不要浪费
    * 需要自己上传推荐信，国外教授可能不乐意",* 奖学金全奖会考虑本科学校QS排名
KTH MSML,KTH,欧洲,T1,2年,EN,ML Msc,否,是,全奖（难以获得）,null,"* 扎实的ML知识培养，KTH学业压力不小
    * 良好的移民和找工环境
    * 可能在瑞典就读phd的机会(你会获得高昂的工资！)
    * 得益于KTH在中国的热情宣传，国内名声不错
    * 如果被3+2录取，可以更快的毕业    
    * 瑞典电子支付普及率很高
    * 斯德哥尔摩水果、肉类非常新鲜
    * 斯德哥尔摩大部分地区比较安全（有安全区域的地图）
    ","* 相对高昂的学费SEK 310,000（接近20wRMB)
    * 冬季缺少日照，容易心情不好的同学请谨慎（学校设置阳光屋）
    ",ML项目的竞争和CS项目相当（甚至更加激烈）,0,null,"* 一份申请费最多可以申请四个项目，不要浪费
    * 需要自己上传推荐信，国外教授可能不乐意",* 奖学金全奖会考虑本科学校QS排名
Polimi CSE,Polimi,欧洲,T1,2年,EN,Master of Science,否,是,1w/8k欧,可申请DSU助学金,"* 没有学费，每年4k注册费（DSU可免除）
    * DSU助学金基本人人都有，最高额每年7k欧+每天5欧餐饮补贴，并且有低廉宿舍补贴
    * 交换项目众多，并且每月有600欧左右生活补贴
    * 学校在欧洲声誉较好，升学较容易","* 项目课程设置偏理论，强度较大，一般2.5-3年毕业
    * 意大利IT产业不发达，很多同学去外国实习做thesis
    * 米兰治安较差
    ",看重课程匹配和本科层次，985优先录取,1,"[{'录取时间': '24Fall', '录取结果': 'AD', '学校（档次）': '华五', '本科专业': 'CS', 'GPA/Rank': '3.2', '科研经历': '2段校内', '实习经历': '无', '其他（语言/推荐信）': 'IELTS7(6), 两封校内老板'}]","* 网申系统较古董，容易崩溃
    * 知乎上有完整的DIY流程",24Fall bar暴涨
TUD MSCESE,TUD,欧洲,T1,2,EN,MSc in Computer and Embedded System Engineering,是,是,可以申TUD的奖学金,null,"
    * 良好的QS排名和国际名誉
    * 变态且扎实的课业难度
    * 荷兰提供欧洲中相对不错的找工作环境和移民政策
    * 代尔夫特的樱花据说非常好看
    * 花费相对较低，每年在25w以内
    * 荷兰较为安全，去周边国家玩很方便
    * 荷兰本地英语普及率超高，日常交流用英语没有障碍
    * 本项目是由原来的computer engineering和embedded system合并而来，课程设置非常偏向体系结构，比较适合想做偏向底层的同学申请","
    * 学费相较于某些欧洲国家较贵（€ 20.560,00）
    * 荷兰常年刮风下雨，阴晴不定，可能会让人心情变糟（适合喜欢下雨的人居住）
    * 一年四个学期，考试频繁，学业比较大
    * 若想获得永居，可能需要学习荷兰语，并且很多路标、超市商品名等均为荷兰语
    * 相比原来的CE项目选课自由度降低了很多",null,0,null,null,null
TUD MSCS,TUD,欧洲,T1,2年,EN,CS Msc,否,是,可申请,null,"* 良好的QS排名和国际名誉
    * 变态且扎实的课业难度
    * 荷兰提供欧洲中相对不错的找工作环境和移民政策
    * 代尔夫特的樱花据说非常好看
    * 花费相对较低，每年在25w以内
    * 荷兰较为安全，去周边国家玩很方便
    * 荷兰本地英语普及率超高，日常交流用英语没有障碍
    ","* 学费相较于某些欧洲国家较贵（€ 20.560,00）
    * 荷兰常年刮风下雨，阴晴不定，可能会让人心情变糟（适合喜欢下雨的人居住）
    * 一年四个学期，考试频繁，学业比较大
    * 若想获得永居，可能需要学习荷兰语，并且很多路标、超市商品名等均为荷兰语
    ",null,2,"[{'录取时间': '23fall', '录取结果': 'AD', '学校（档次）': '陆本Top15', '本科专业': 'CS', 'GPA/Rank': '3.9/4.0', '科研经历': '1段校内；1段海外', '实习经历': '2段国内大厂', '其他（语言/推荐信）': 'T105'}, {'录取时间': '23fall', '录取结果': 'AD', '学校（档次）': '陆本Top15', '本科专业': 'CS', 'GPA/Rank': '3.84/4(91)', '科研经历': '1段校内', '实习经历': '1段国内中大厂', '其他（语言/推荐信）': 'T108; G330'}]","* 如果不要申请奖学金，可以不用提交推荐信
    * 动机信不用写最低要求的1k字也可以被录取（如果你觉得1k字太冗余的话）","* GRE写作不卡小分4.0
    * 如果决定要去一定要尽早租房/缴纳TUD的租房服务账单"
UCL DSML MSc,UCL,英国,T1,null,null,null,null,null,null,null,null,null,null,0,null,null,null
UCL ML MSc,UCL,英国,T1,null,null,null,null,null,null,null,null,null,null,0,null,null,null
UvA AI,UvA,欧洲,T1,2 年,EN,MSc Artificial Intelligence,否,是,AMS 奖学金（较难获得）,null,"* 阿姆斯特丹大学在人工智能领域很厉害（csranking 人工智能领域欧洲第四，仅次于瑞士双 E），有 Max Welling 坐镇，带领了一众很厉害的教授，并且和微软合作密切，有几率可以获得微软的工作机会
    * 属于学硕，之后读博更加方便
    * 荷兰获得永居相对容易，找工作也相对容易
    * 只是针对 AI 领域的项目，因此不会强制上一些其它 CS 相关的课
    * 无需占位费（虽然需要在发 offer 后两周内在系统内接受 offer，但后续可以随时从 Studielink 上删除项目。最终是否参加该项目根据是否缴纳学费决定）
    * 学校对中国学生很关心，会专门组织面向国内学生的宣讲会，在国内也有不少社交媒体账号，并且可以通过这些账号快速联系 UvA
    * 学校会帮助被录取的学生办理签证和第一年的住房，不需要自己操心
    * 荷兰本地英语普及率超高，日常交流用英语没有障碍
    * 阿姆斯特丹大学很重视 AI 项目，专门建造了一整栋新楼（LAB42）
    ","* 学费相较于某些欧洲国家较贵（€ 16.500,00）
    * 出 offer 较晚，部分学生会在二月份收到，但多数会在五月份收到（但 5.1 之前就需要寄送纸质成绩单等材料）
    * 荷兰可能过于开放了（街上有 weed 的味道等…，当然这也可能是优点？）
    * 荷兰常年刮风下雨，阴晴不定，可能会让人心情变糟（适合喜欢下雨的人居住）
    * 欧洲衡水之一：一年两个学期，每个学期分为三个小学期，每阶段结束后就要考试。此外荷兰的公共假期较短，很难有时间去远一些的地方旅行
    * 只是针对 AI 领域的项目，就业范围可能会相对有限
    * 在国内可能知名度较低
    * 阿姆斯特丹地区宿舍资源竞争激烈，中国学生第一年会有学校安排宿舍，第二年需要自己找房
    * 若想获得永居，可能需要学习荷兰语，并且很多路标、超市商品名等均为荷兰语
    ",null,1,"[{'录取时间': '23fall', '录取结果': 'AD', '学校（档次）': '陆本Top15', '本科专业': 'CS', 'GPA/Rank': '92.7/100', '科研经历': '1段清北', '实习经历': '1段大厂', '其他（语言/推荐信）': 'IELTS 7.5(6.5), GRE 329+3'}]","* 关于申请时需要填写的本科毕设内容，若尚未开始或尚未完成，可以参考以下邮件回复填写（It is not a problem that your thesis is not completed yet when you submit your application. All we need is a thesis description. If you do not know the topic of your thesis yet, please attach a pdf with how many credits you will receive for your thesis and what techniques you expect to use. In addition, mention the other research program you have worked on. It is good to mention all relevant experience.）","* Datanose 上要求 5.1 之前递交纸质成绩单和在读证明（或学位证书）等，但本项目大部分学生在 5.1 之后才会收到录取结果。但若想要参加，还是需要提前寄送纸质文件。（最好多预留时间，国际快递速度较慢）
    * 关于为什么会有一些学生在 2 月份收到录取：Please note, we pre-selected the students of who we were convinced they will be offered a place. You were one of those students.
    * 似乎不是所有人在收到录取时都会有邮件通知？所以如果看到有人录了的话还是主动去 Datanose 上看看申请状态吧
    * 关于两周内确认 offer 但最终不去的后果，参考官方回复：If you accept the admission offer to any of our Faculty of Science Master programmes and then decline this offer later on there will not be any consequences involved."
Aarhus CS,Aarhus,欧洲,T1.5,2年,EN,Master of Science,否,是,全奖,null,"* 招生人数较少，师生比堪称梦幻（不算本科生 44：270）
    * 当地英语普及率极高
    * 奥胡斯作为大学城当地平均年龄低，年轻人多（学校相关人口占城市总人口1/5）
    * 生活住房成本较低，且校内提供第一年的找房服务（非校内宿舍，类似于学校合作的学生宿舍）
    * 通勤方便，最远自行车15-20min即可
    * 研究氛围好，有机会第二个学期就跟着老师做项目，且拥有独立办公室的那种
    * 课程安排轻松（一周13-15h），有大把的时间来兼职/实习/科研
    * 旁边有IT园区，就业相对轻松（待验证）
    * 第二年有机会转博，且博士岗位较多（70+）","* 学费较高15300欧/年（2023）
    * 学校课程偏理论，缺少开发方面课程
    * 全奖名额较少（4-6个），且只包含学费不包含生活费
    * qs低且有逐步下滑趋势，回国慎选
    * 期末考核方式为口试，需要较强的口语能力（学校会有专门的workshop来训练）
    * 丹麦居留政策较不友好
    
    ",* 比较看重课程匹配,2,"[{'录取时间': '23Fall', '录取结果': 'AD+免学费', '学校（档次）': '陆本top15', '本科专业': 'CS', 'GPA/Rank': '3.35/4.0', '科研经历': '无', '实习经历': '一段大厂', '其他（语言/推荐信）': 'IELTS 6.5'}, {'录取时间': '24Fall', '录取结果': 'AD无奖', '学校（档次）': '同济', '本科专业': 'DS', 'GPA/Rank': '90/100', '科研经历': '1B1C', '实习经历': '两段外企', '其他（语言/推荐信）': 'TOFEL 106 GRE：323+4.0'}]","*申请不太看软背景，可能比较看匹配度
    *丹麦学校对于中国学校的排名看法和中国主流看法有差异，建议查看本校和相关学校有无相关合作","无

* 2024 update：关于转博，有可能对中国学生进行背景审查（详见公众号“丹麦研究中心”2024年3月4日的[文章](https://www.163.com/dy/article/ISHPN05305527UO2.html)）"
CTH CSN,CTH,欧洲,T1.5,2年,EN,Master of Science,否,是,75%,null,"* 学校和各种企业合作很多，软件工程专业好找工作
    * 位于瑞典工业城市哥德堡，信息、汽车产业发达，利于就业
    * CTH在瑞典声誉良好，与KTH不相上下
    * CTH保证学生住宿，不用愁租房子
    * 课程强度较小，可以度过相对宽松的两年","* 哥德堡治安趋于恶化
    * 学费较贵两年320,000SEK
    * 外国人在瑞典职场上升空间有限，当地也存在种族歧视问题。",按主观录取选择标准优先级排序：1.课程匹配度 2.均分 3.工作经验 4.学校排名 5.科研,3,"[{'录取时间': '24Fall', '录取结果': 'AD+75%奖', '学校（档次）': '华五', '本科专业': 'CS', 'GPA/Rank': '3.2', '科研经历': '两段水科研', '实习经历': '无', '其他（语言/推荐信）': 'IELTS 7'}, {'录取时间': '24Fall', '录取结果': 'AD', '学校（档次）': '211', '本科专业': 'CS', 'GPA/Rank': '3.2', '科研经历': '两段水科研', '实习经历': '实习2段工作2年', '其他（语言/推荐信）': 'IELTS 6.5'}, {'录取时间': '24Fall', '录取结果': 'AD', '学校（档次）': '985', '本科专业': 'SE', 'GPA/Rank': '3.6/4 85/100', '科研经历': '一段科研', '实习经历': '中厂实习', '其他（语言/推荐信）': 'IELTS 7.5'}]",课程描述是文书大头，需要认真准备。,"24Fall奖学金的bar没有那么高，或许明年会卷起来

​	上述说的好找工作可能并没有想象的那么好找工作，详见b站CTH在读up主 [**S-WangZ**](https://space.bilibili.com/290415485) 的留学体验分享。进群以后 21/22/23 的学长学姐均表示不太好找实习。"
CTH DSAI,CTH,欧洲,T1.5,2年,EN,Master of Science,否,是,75%,null,"* 数学基础课扎实硬核。
    * 位于瑞典工业城市哥德堡，信息、汽车产业发达，利于就业，去沃尔沃、爱立信、阿斯利康等企业实习机会很大，在瑞典独一档（总部都设在哥村了）。
    * CTH在瑞典声誉良好，与KTH不相上下，校友多且分布广泛。
    * 城市沿海，一小时内可以去海岛、森林，交通便利，风景优美。
    * Workload相对比较小。","* 哥德堡治安趋于恶化。（补充：治安相对欧洲其他城市还是强的多的）
    * 学术资源不足，在传统的CV/NLP中资源短缺，未来想做纯AI研究不建议来这里，目前在AI领域只有Simon/Rocio在做与AI+分子模拟/制药等工作。
    * 课程教学偏向统计，DS相关课程参杂大量过时方法（e.g. 基于规则的对话系统），在AI相关的课程上有些落后于时代。
    * 做研究机会少，想要第二年做1年毕设需要很提前联系导师并且得写proposal，否则读博难。
    ","* 985/211出身的学生，奖学金在此项权重很高
    * 课程匹配度和均分较高的学生
    * 第一志愿的学生",2,"[{'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '985', '本科专业': 'CS', 'GPA/Rank': '85', '科研经历': '无', '实习经历': '一段小厂', '其他（语言/推荐信）': 'IELTS 6.5'}, {'录取时间': '24Fall', '录取结果': 'AD', '学校（档次）': '双非', '本科专业': 'CS', 'GPA/Rank': '89', '科研经历': '水文', '实习经历': '一段大厂', '其他（语言/推荐信）': 'IELTS 6.5 企业实习推+课程TA推'}]",null,null
CTH SE,CTH,欧洲,T1.5,2年,EN,Master of Science,否,是,75%,null,"* 学校和各种企业合作很多，软件工程专业好找工作
    * 位于瑞典工业城市哥德堡，信息、汽车产业发达，利于就业
    * CTH在瑞典声誉良好，与KTH不相上下","* 哥德堡治安趋于恶化
    * 学费较贵两年320,000SEK
    * 外国人在瑞典职场上升空间有限，当地也存在种族歧视问题。",按主观录取选择标准优先级排序：1.课程匹配度 2.均分 3.工作经验 4.学校排名 5.科研,1,"[{'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '985', '本科专业': 'CS', 'GPA/Rank': '82', '科研经历': '一个水专利', '实习经历': '一段小厂', '其他（语言/推荐信）': 'IELTS 7'}]",课程描述是文书大头，需要认真准备。,"奖学金一般985+85以上均分才有戏，想冲奖学金的建议酌情考虑。
    另外23Fall比起KTH来说CTH没那么卷，是润瑞典的好选择。"
